DISTRIBUIDORA;ANO;MÊS;DIA;PRODUTO;QUANTIDADE;PREÇO;FATURAMENTO
Distribuidora DF;2021;3;1;PRODUTO B;220;38,6227260663507;8488,95333333334
Distribuidora DF;2021;3;1;PRODUTO C;1845;45,268344586203;83529,5266666667
Distribuidora DF;2021;3;1;PRODUTO D;91;65,1820257826888;5898,97333333333
Distribuidora DF;2021;4;1;PRODUTO A;153;55,1904034896401;8434,93333333334
Distribuidora DF;2021;4;1;PRODUTO B;438;35,6769224909541;15611,6266666667
Distribuidora DF;2021;4;1;PRODUTO C;2740;42,8856123705697;117522,66
Distribuidora DF;2021;4;1;PRODUTO D;179;70,8352776481568;12650
Distribuidora DF;2021;5;1;PRODUTO A;94;56,8647551202137;5321,59333333333
Distribuidora DF;2021;5;1;PRODUTO B;355;36,1829724340176;12852,4933333333
Distribuidora DF;2021;5;1;PRODUTO C;3794;42,8465251529161;162572,213333333
Distribuidora DF;2021;5;1;PRODUTO D;294;71,0014184397163;20856,6666666667
Distribuidora DF;2021;6;1;PRODUTO A;38;62,2715418502203;2355,94
Distribuidora DF;2021;6;1;PRODUTO B;295;40,1887150522451;11859,02
Distribuidora DF;2021;6;1;PRODUTO C;2486;47,6169106999196;118375,64
Distribuidora DF;2021;6;1;PRODUTO D;315;66,6237589214909;21003,14
Distribuidora DF;2021;7;1;PRODUTO A;60;62,998942976356;3774,68666666667
Distribuidora DF;2021;7;1;PRODUTO B;432;40,265767154973;17408,2333333333
Distribuidora DF;2021;7;1;PRODUTO C;3945;47,7787671638008;188479,273333333
Distribuidora DF;2021;7;1;PRODUTO D;396;67,4664365396759;26711,0866666667
Distribuidora DF;2021;8;1;PRODUTO A;72;66,811641443539;4782,6
Distribuidora DF;2021;8;1;PRODUTO B;316;44,1887130801688;13963,6333333333
Distribuidora DF;2021;8;1;PRODUTO C;3706;51,0702230617017;189266,246666667
Distribuidora DF;2021;8;1;PRODUTO D;503;73,4484426772697;36944,5666666667
Distribuidora DF;2021;9;1;PRODUTO A;87;65,8829063097514;5742,79333333333
Distribuidora DF;2021;9;1;PRODUTO B;484;42,6367630853995;20636,1933333333
Distribuidora DF;2021;9;1;PRODUTO C;5503;50,0092834211642;275201,086666667
Distribuidora DF;2021;9;1;PRODUTO D;930;74,2959139784947;69095,2
Distribuidora DF;2021;10;1;PRODUTO A;77;66,3226985854189;5079,21333333333
Distribuidora DF;2021;10;1;PRODUTO B;354;43,3094350282486;15331,54
Distribuidora DF;2021;10;1;PRODUTO C;3750;50,8784835555556;190794,313333333
Distribuidora DF;2021;10;1;PRODUTO D;837;76,4608522500996;63997,7333333333
Distribuidora DF;2021;11;1;PRODUTO A;97;66,0734651762683;6403,62
